RedName,Width,Height,Format,Compression,TextureGroup
characters\models\common\woman_average\body\model\woman_old__body_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_old__body_d01.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_old__body_n01.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\body\model\woman_old__body_d02.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_old__body_n02.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\body\model\g_01_wa__elza_a01.xbm,512,512,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\g_01_wa__elza_d01.xbm,512,512,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_average__body_a_censored.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_average__body_d_censored.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_average__body_n_censored.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\body\model\woman_old__body_d01_censored.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_old__body_d02_censored.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_old__body_n01_censored.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\body\model\woman_old__body_n02_censored.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\body\model\woman_average__body_a.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_average__body_d.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\woman_average\body\model\woman_average__body_n.xbm,2048,2048,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\woman_average\heads\h_02_wa__skellige_villager\h_02_wa__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_02_wa__skellige_villager\h_02_wa__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_02_wa__skellige_villager\h_02_wa__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_07_wa__novigrad_citizen\h_07_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_08_wa__novigrad_citizen\h_08_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_08_wa__novigrad_citizen\h_08_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_08_wa__novigrad_citizen\h_08_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_09_wa__novigrad_citizen\h_09_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_09_wa__novigrad_citizen\h_09_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_09_wa__novigrad_citizen\h_09_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_10_wa__novigrad_citizen\h_10_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_10_wa__novigrad_citizen\h_10_wa__novigrad_citizen_d01.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_10_wa__novigrad_citizen\h_10_wa__novigrad_citizen_n01.xbm,2048,2048,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_d04.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_12_wa__novigrad_citizen\h_12_wa__novigrad_citizen_d03.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_18_wa__novigrad_citizen\h_18_wa__concubine_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_18_wa__novigrad_citizen\h_18_wa__concubine_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_18_wa__novigrad_citizen\h_18_wa__concubine_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_20_wa__novigrad_citizen\h_20_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_20_wa__novigrad_citizen\h_20_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_20_wa__novigrad_citizen\h_20_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_21_wa__novigrad_citizen\h_21_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_21_wa__novigrad_citizen\h_21_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_21_wa__novigrad_citizen\h_21_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_22_wa__novigrad_citizen\h_22_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_22_wa__novigrad_citizen\h_22_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_22_wa__novigrad_citizen\h_22_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_23_wa__novigrad_citizen\h_23_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_23_wa__novigrad_citizen\h_23_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_23_wa__novigrad_citizen\h_23_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_23_wa__novigrad_citizen\h_23_wa__novigrad_citizen_a02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_23_wa__novigrad_citizen\h_23_wa__novigrad_citizen_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
