; similarity matrix for pocketsphinx Arpabet to eSpeak IPA phoneme matching
; first row Arpabet phonemes
; first col IPA phonemes
[T\A]|AO   |AA   |IY   |UW   |EH   |IH   |UH   |AH   |AX   |AE   |EY   |AY   |OW   |AW   |OY   |ER   |AXR  |P    |B    |T    |D    |K    |G    |CH   |JH   |F    |V    |TH   |DH   |S    |Z    |SH   |ZH   |HH   |M    |EM   |N    |EN   |NG   |ENG  |L    |EL   |R    |DX   |NX   |Y    |W    |Q    
ɔ    | 2.0 |     |     |     |     |     |     | 0.5 | 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɑ    | 0.5 | 2.0 |     |     | 0.01|     |     | 1.7 | 1.7 | 0.25|     | 0.25| 0.01| 0.25| 0.01| 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɒ    | 0.5 | 2.0 |     |     | 0.01|     | 0.5 | 1.7 | 1.7 | 0.25|     | 0.25| 0.01| 0.25| 0.01| 0.5 |     | 0.01| 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɐ    |     | 2.0 |     |     | 0.01|     | 0.5 | 1.7 | 1.7 | 0.25|     | 0.25| 0.01| 0.25| 0.01| 0.5 |     | 0.01| 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
i    |     |     | 2.0 |     |     | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.25|     |     
iə   |     |     | 0.5 |     |     | 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
u    |     |     | 0.25| 2.0 |     | 0.01| 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     | 0.01|     |     |     |     |     |     |     
ɛ    |     |     |     |     | 2.0 | 0.01| 0.01| 0.5 |     |     | 0.01|     |     |     |     | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɜ    |     |     |     |     | 0.5 | 0.01| 0.5 | 0.01|     |     | 0.01|     |     |     |     | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɪ    |     |     | 1.7 |     |     | 2.0 |     | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ʊ    |     |     |     |     | 0.01|     | 2.0 | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ʊə   |     |     |     |     |     |     | 1.7 | 0.01|     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ʌ    |     | 0.5 |     |     |     |     |     | 2.0 | 2.0 | 0.25|     | 0.25|     | 0.25|     |     |     | 0.01| 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ə    |     |     |     | 0.01| 0.25| 0.01| 0.01| 2.0 | 2.0 | 1.7 | 0.25| 0.01|     |     |     | 0.5 |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01| 0.25| 0.01| 0.25|     | 0.25|     | 0.5 |     |     |     |     |     |     
æ    |     |     |     |     |     |     |     |     |     | 2.0 |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
a    |     | 0.01|     | 0.01| 0.25|     |     | 0.01| 0.25| 1.7 |     | 0.25|     | 0.25|     |     |     | 0.01| 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
eə   |     |     |     |     | 0.01| 0.5 |     | 0.25|     | 1.7 | 0.01|     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
eɪ   |     |     |     |     | 0.01| 0.01|     |     |     |     | 2.0 | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
aɪ   |     | 0.01|     |     |     | 0.01|     | 0.25|     |     | 0.25| 2.0 | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
oʊ   |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
aʊ   |     |     |     |     |     |     |     | 0.25|     |     |     |     | 0.25| 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
əʊ   |     |     |     |     |     |     |     | 0.01|     |     |     |     | 2.0 | 0.25|     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɔɪ   |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ɝ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ɚ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ɛr   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ʊr   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɔr   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɑr   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
ɪr   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
aʊr  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
aʊə  |     |     |     |     |     |     | 0.25| 0.25| 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
aɪə  |     | 0.01| 0.01|     |     | 0.25|     | 0.25| 0.25|     |     | 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
p    |     |     |     |     |     |     |     | 0.01| 0.01|     |     |     |     |     |     |     |     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
b    |     |     |     |     |     |     |     | 0.01| 0.01|     |     |     |     |     |     |     |     | 1.7 | 2.0 |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
t    |     |     |     |     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
d    |     |     | 0.01| 0.01| 0.01| 0.01| 0.01| 0.01| 0.01| 0.01| 0.01| 0.01|     |     |     |     |     |     |     | 1.7 | 2.0 |     | 0.25|     |     |     |     | 0.01| 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     
k    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ɡ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     | 1.7 | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
tʃ   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
dʒ   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 1.7 | 1.7 | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
f    |     |     |     |-0.5 |     |     |     | 0.01|     |     |     |     |-0.5 |-0.5 |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
v    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 1.7 | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.01|     |     |     |     |     
θ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ð    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 0.25| 1.7 |     | 0.5 |     |     |     | 0.01| 1.7 | 2.0 |     |     |     |     |     | 0.01|     |     |     | 0.01| 0.01|     |     |     | 0.5 |     |     |     |     
s    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 | 0.5 | 0.25|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
z    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 1.7 | 2.0 | 0.25| 0.5 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ʃ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 1.7 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
ʒ    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 1.7 | 2.0 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     
h    |     |     |     |     | 0.01| 0.01| 0.01| 0.25|     |     |     |     |     | 0.01|     | 0.01|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 |     |     |     |     |     |     | 0.01|     |     |     |     |     |     |     
m    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |-2.0 |     |     |     |     |     |     |     |     |     |     |     |     | 2.0 | 0.5 | 0.01| 0.01| 0.01| 0.01|     |     |     |     | 0.01|     |     |     
